"url","title","category","type","classification","confidence","word_count","linked_sources","source_items","h2_count","faq_count","incoming_links","repeated_paragraph_ratio","gsc_impressions","gsc_position","last_modified","reason","automatic_action"
"/analytics/ai-saas-statistics-2026/","AI SaaS Statistics 2026: Spending and Adoption","analytics","statistics","enhance","high","1137","3","3","12","0","6","0.00","633","8.6","2026-07-30T23:18:15","GSC demand: 633 impressions at position 8.6","none"
"/crm/zoho-vs-freshsales-vs-close/","Zoho vs Freshsales vs Close (2026): CRM Comparison","crm","comparison","enhance","high","869","0","0","9","3","4","0.00","571","7.8","2026-07-30T23:18:18","GSC demand: 571 impressions at position 7.8","none"
"/analytics/state-of-saas-2026-annual-report/","7 B2B SaaS Market Trends for 2026: State of SaaS","analytics","report","enhance","high","1200","12","12","13","3","4","0.00","422","7.6","2026-07-30T23:18:25","GSC demand: 422 impressions at position 7.6","none"
"/analytics/saas-market-size-statistics-2026/","SaaS Market Statistics 2026: Software Spending and Public Company Indicators","analytics","statistics","enhance","high","1170","4","4","12","0","5","0.00","279","11.2","2026-07-11T22:18:31","GSC demand: 279 impressions at position 11.2","none"
"/crm/best-crm-small-business/","Best CRM for Small Business 2026: Pricing and Features Compared","crm","buyers-guide","enhance","high","965","0","0","12","3","4","0.00","264","37.7","2026-07-12T07:47:45","GSC demand: 264 impressions at position 37.7","none"
"/security/cybersecurity-statistics-2026/","Cybersecurity Statistics 2026: Breaches and Ransomware","security","statistics","enhance","high","1276","4","4","8","0","15","0.00","218","8.7","2026-07-30T23:18:17","GSC demand: 218 impressions at position 8.7","none"
"/ecommerce/ecommerce-statistics-2026/","E-commerce Statistics 2026: U.S. Sales and Mobile Trends","ecommerce","statistics","enhance","high","1307","3","3","8","0","8","0.00","191","8.8","2026-07-17T22:37:11","GSC demand: 191 impressions at position 8.8","none"
"/crm/salesforce-vs-hubspot-vs-pipedrive/","Salesforce vs HubSpot vs Pipedrive: Best CRM 2026","crm","comparison","enhance","high","2190","0","0","8","4","5","0.00","135","33.7","2026-07-11T22:14:09","GSC demand: 135 impressions at position 33.7","none"
"/crm/salesforce-vs-zoho/","Salesforce vs Zoho: Enterprise CRM Showdown 2026","crm","comparison","enhance","high","1960","0","0","16","4","4","0.00","118","52.4","2026-07-11T22:13:58","GSC demand: 118 impressions at position 52.4","none"
"/hr/saas-sales-rep-salary/","SaaS Sales Rep Salary 2026: Base Pay, OTE and Commission","hr","article","enhance","high","2193","0","0","18","4","5","0.00","110","10.8","2026-07-17T22:32:56","GSC demand: 110 impressions at position 10.8","none"
"/hr/saas-founder-salary/","SaaS Founder Salary 2026: How Much to Pay Yourself by Stage","hr","article","enhance","high","2123","8","8","12","4","4","0.00","98","19.6","2026-07-11T22:13:37","GSC demand: 98 impressions at position 19.6","none"
"/ecommerce/stripe-vs-paypal-vs-square/","Stripe vs PayPal vs Square: Payment Processing 2026","ecommerce","comparison","enhance","high","2103","0","0","3","4","4","0.00","73","42.6","2026-07-11T22:13:57","GSC demand: 73 impressions at position 42.6","none"
"/communication/slack-vs-teams-vs-zoom/","Slack vs Microsoft Teams vs Zoom 2026","communication","comparison","enhance","high","2198","0","0","9","4","4","0.00","68","10.5","2026-07-17T22:33:04","GSC demand: 68 impressions at position 10.5","none"
"/crm/small-business-crm-statistics-2026/","Small Business CRM Statistics 2026: Vendor and Workflow Data","crm","statistics","enhance","high","1172","4","4","11","0","4","0.00","62","4.6","2026-07-17T22:32:57","GSC demand: 62 impressions at position 4.6","none"
"/ecommerce/bigcommerce-statistics-2026/","BigCommerce Statistics 2026: Revenue and Merchant Trends","ecommerce","statistics","enhance","high","1230","3","3","10","0","17","0.00","62","8.4","2026-07-17T22:33:02","GSC demand: 62 impressions at position 8.4","none"
"/hr/best-hr-software-small-business/","Best HR Software for Small Business 2026","hr","buyers-guide","enhance","high","3045","0","0","13","4","4","0.00","61","13","2026-07-17T22:33:08","GSC demand: 61 impressions at position 13","none"
"/project-management/jira-vs-notion-vs-trello/","Jira vs Notion vs Trello for Project Management 2026","project-management","comparison","enhance","high","1981","0","0","14","4","4","0.00","61","11.7","2026-07-11T22:14:02","GSC demand: 61 impressions at position 11.7","none"
"/ecommerce/amazon-fba-statistics-2026/","Amazon FBA Statistics 2026: Seller and Program Data","ecommerce","statistics","enhance","high","1291","3","3","11","0","4","0.00","52","6.2","2026-07-17T22:33:03","GSC demand: 52 impressions at position 6.2","none"
"/analytics/best-bi-tools/","Best Business Intelligence Tools 2026","analytics","buyers-guide","enhance","high","2630","10","10","32","4","4","0.00","51","31.7","2026-07-17T22:33:07","GSC demand: 51 impressions at position 31.7","none"
"/analytics/mixpanel-vs-amplitude-vs-google-analytics/","Mixpanel vs Amplitude vs Google Analytics 2026","analytics","comparison","enhance","high","2342","0","0","15","4","4","0.00","51","17","2026-07-17T22:33:05","GSC demand: 51 impressions at position 17","none"
"/hr/hr-hcm-statistics-2026/","HR & HCM Statistics 2026: Workforce, Spending & Adoption Data","hr","statistics","enhance","high","1210","6","6","12","0","4","0.00","49","5.7","2026-07-17T22:33:01","GSC demand: 49 impressions at position 5.7","none"
"/analytics/business-intelligence-statistics-2026/","Business Intelligence Statistics 2026: Platform Data and Source Limits","analytics","statistics","enhance","high","1159","5","5","10","0","19","0.00","12","1.8","2026-07-11T22:14:52","GSC demand: 12 impressions at position 1.8","none"
"/ai/ai-cost-benefit-analysis-for-business/","AI Cost-Benefit Analysis for Business","ai","article","enhance","medium","1870","0","0","12","3","4","0.58","0","","2026-07-11T22:02:06","repeated-paragraph ratio: 0.58","none"
"/ai/ai-customer-service-implementation/","AI Customer Service Implementation","ai","article","enhance","medium","1807","0","0","11","3","4","0.58","0","","2026-07-11T22:02:03","repeated-paragraph ratio: 0.58","none"
"/ai/ai-writing-tools-comparison/","AI Writing Tools Comparison","ai","article","enhance","medium","1813","0","0","11","3","4","0.58","0","","2026-07-11T22:01:41","repeated-paragraph ratio: 0.58","none"
"/ai/artificial-intelligence-guide/","The Ultimate Guide to Artificial Intelligence Software in 2026","ai","guide","enhance","medium","4348","0","0","12","0","4","0.30","0","","2026-07-11T21:52:52","repeated-paragraph ratio: 0.30","none"
"/ai/best-ai-assistants/","Best AI Assistants in 2026","ai","buyers-guide","enhance","medium","3190","0","0","11","0","4","0.02","0","","2026-07-11T22:11:39","evidence-led page has 0 linked sources","none"
"/ai/best-ai-chatbot-for-website/","Best AI Chatbot for Website in 2026","ai","buyers-guide","enhance","medium","3019","0","0","16","3","4","0.17","0","","2026-07-11T21:52:46","evidence-led page has 0 linked sources","none"
"/ai/best-ai-chatbot-platforms/","Best AI Chatbot Platforms in 2026","ai","buyers-guide","enhance","medium","3397","0","0","11","0","4","0.04","0","","2026-07-11T22:11:38","evidence-led page has 0 linked sources","none"
"/ai/best-ai-code-assistants/","Best AI Code Assistants in 2026","ai","buyers-guide","enhance","medium","3173","0","0","23","0","4","0.28","0","","2026-07-11T22:09:40","evidence-led page has 0 linked sources","none"
"/ai/best-ai-content-tools/","Best AI Content Tools in 2026","ai","buyers-guide","enhance","medium","3361","0","0","11","0","4","0.04","0","","2026-07-11T22:11:37","evidence-led page has 0 linked sources","none"
"/ai/best-ai-customer-service-tools/","Best AI Customer Service Tools in 2026","ai","buyers-guide","enhance","medium","3266","0","0","11","0","4","0.04","0","","2026-07-11T22:11:36","evidence-led page has 0 linked sources","none"
"/ai/best-ai-data-analytics-platforms/","Best AI Data Analytics in 2026","ai","buyers-guide","enhance","medium","3198","0","0","23","0","4","0.28","0","","2026-07-11T22:09:39","evidence-led page has 0 linked sources","none"
"/ai/best-ai-data-analytics-tools/","Best AI Analytics Tools in 2026","ai","buyers-guide","enhance","medium","3410","0","0","11","0","4","0.02","0","","2026-07-11T22:11:35","evidence-led page has 0 linked sources","none"
"/ai/best-ai-image-generation-tools/","Best AI Image Generators in 2026","ai","buyers-guide","enhance","medium","3169","0","0","11","0","4","0.02","0","","2026-07-11T22:11:34","evidence-led page has 0 linked sources","none"
"/ai/best-ai-meeting-assistants/","Best AI Meeting Assistants in 2026","ai","buyers-guide","enhance","medium","3169","0","0","23","0","4","0.28","0","","2026-07-11T22:09:37","evidence-led page has 0 linked sources","none"
"/ai/best-ai-note-taking-tools/","Best AI Note Taking in 2026","ai","buyers-guide","enhance","medium","3205","0","0","23","0","4","0.28","0","","2026-07-11T22:09:36","evidence-led page has 0 linked sources","none"
"/ai/best-ai-presentation-makers/","Best AI Presentation Makers in 2026","ai","buyers-guide","enhance","medium","3168","0","0","23","0","4","0.28","0","","2026-07-11T22:09:35","evidence-led page has 0 linked sources","none"
"/ai/best-ai-recruiting-tools/","Best AI Recruiting Tools in 2026","ai","buyers-guide","enhance","medium","3336","0","0","11","0","4","0.02","0","","2026-07-11T22:11:32","evidence-led page has 0 linked sources","none"
"/ai/best-ai-sales-tools/","Best AI Sales Tools in 2026","ai","buyers-guide","enhance","medium","3545","0","0","11","0","4","0.04","0","","2026-07-11T22:11:31","evidence-led page has 0 linked sources","none"
"/ai/best-ai-seo-tools/","Best AI SEO in 2026","ai","buyers-guide","enhance","medium","3145","0","0","23","0","4","0.28","0","","2026-07-11T22:09:32","evidence-led page has 0 linked sources","none"
"/ai/best-ai-tools-for-business/","Best AI Tools for Business in 2026","ai","buyers-guide","enhance","medium","3047","0","0","16","3","4","0.36","0","","2026-07-11T21:52:45","evidence-led page has 0 linked sources | repeated-paragraph ratio: 0.36","none"
"/ai/best-ai-tools-for-developers/","Best AI Tools for Developers in 2026","ai","buyers-guide","enhance","medium","3016","0","0","16","3","5","0.33","0","","2026-07-11T21:52:41","evidence-led page has 0 linked sources | repeated-paragraph ratio: 0.33","none"
"/ai/best-ai-tools-for-hr/","Best AI Tools for HR in 2026","ai","buyers-guide","enhance","medium","3070","0","0","16","3","5","0.32","0","","2026-07-11T21:52:38","evidence-led page has 0 linked sources | repeated-paragraph ratio: 0.32","none"
"/ai/best-ai-tools-for-marketing/","Best AI Tools for Marketing in 2026","ai","buyers-guide","enhance","medium","3058","0","0","16","3","5","0.32","0","","2026-07-11T21:52:37","evidence-led page has 0 linked sources | repeated-paragraph ratio: 0.32","none"
